Family,Dataset Name,Year,Category,Access Level,License Type
Standalone,TF2023,2024,Ego-exo cross-view,Open,Not specified
Standalone,THU-READ,2018,Action recognition,Open,Custom Academic
Standalone,UEC Dataset,2011,Classic,Open,Not specified
Standalone,UT Egocentric,2012,Classic,Gated-Open,Not specified
Standalone,UTokyo Ego-Surf,2018,Social interaction,Open,Not specified
Standalone,UTokyo Paired Ego-Video (PEV),2018,Social interaction,Open,Not specified
Standalone,VEDB,2021,Gaze and eye tracking,Open,Not specified
Standalone,VINST / Visual Diaries,2013,Navigation and localization,Open,Not specified
Standalone,Xperience-10M,2026,Large-scale foundation,Gated-Open,CC-BY-NC-4.0
Standalone,xR-EgoPose,2019,Body pose,Open,Custom Academic
UnrealEgo,UnrealEgo / UnrealEgo2,2022,Body pose,Open,Not specified
UnrealEgo,UnrealEgo-RW,2024,Body pose,Open,Not specified
